trial_id,val_accuracy,best_epoch,test_accuracy,num_conv_layers,num_fc_layers,dropout_count,dropout_location,dropout_rate,learning_rate,epochs
1,0.7519999742507935,21,0.750130295753479,4,1,1,conv,0.2,0.0001,40
22,0.703000009059906,4,0.4616988003253937,4,1,1,dense,0.2,0.001,20
3,0.6930000185966492,4,0.506774365901947,4,1,1,conv,0.35,0.0005,40
8,0.6850000023841858,4,0.3770192861557007,3,2,1,conv,0.2,0.001,40
14,0.6850000023841858,4,0.31240227818489075,3,2,1,dense,0.35,0.0005,20
16,0.6819999814033508,4,0.28843146562576294,4,1,2,conv+dense,0.35,0.001,40
4,0.6769999861717224,4,0.2631579041481018,3,2,2,conv+dense,0.35,0.0005,20
11,0.6740000247955322,3,0.5458571910858154,2,2,1,dense,0.5,0.001,30
12,0.6729999780654907,4,0.3681604862213135,3,2,1,dense,0.35,0.001,30
6,0.6669999957084656,4,0.40594059228897095,2,2,1,conv,0.35,0.0005,30
23,0.6539999842643738,4,0.3295987546443939,4,1,1,dense,0.2,0.0005,30
7,0.6470000147819519,4,0.2980719208717346,2,2,2,dense+dense,0.2,0.001,40
9,0.6449999809265137,3,0.49531006813049316,3,2,1,conv,0.35,0.0005,30
20,0.640999972820282,4,0.28973424434661865,3,1,2,dense+dense,0.5,0.0001,30
19,0.6309999823570251,4,0.513548731803894,3,1,1,conv,0.35,0.0001,30
10,0.6299999952316284,4,0.21860343217849731,4,1,1,conv,0.5,0.0001,40
2,0.6290000081062317,4,0.21860343217849731,4,2,1,conv,0.2,0.0001,40
18,0.6190000176429749,4,0.39525794982910156,2,1,1,dense,0.35,0.0001,20
24,0.6129999756813049,4,0.4009900987148285,2,1,1,conv,0.2,0.001,20
21,0.6110000014305115,4,0.3705054819583893,2,2,2,conv+dense,0.2,0.0001,30
13,0.6079999804496765,4,0.3522668182849884,4,1,2,conv+dense,0.35,0.0001,40
15,0.6050000190734863,4,0.21651901304721832,3,2,2,conv+dense,0.5,0.0001,20
17,0.5680000185966492,4,0.3629494607448578,3,2,2,dense+dense,0.35,0.0001,40
5,0.5220000147819519,3,0.315528929233551,2,2,1,dense,0.2,0.0001,30
